абажур	абажур:ROOT
абажурчик	абажур:ROOT/чик:SUFF
абдуктивный	аб:PREF/дукт:ROOT/ивн:SUFF/ый:END
дедуктивный	де:PREF/дукт:ROOT/ивн:SUFF/ый:END
индуктивный	ин:PREF/дукт:ROOT/ивн:SUFF/ый:END
индукторный	ин:PREF/дукт:ROOT/ор:SUFF/н:SUFF/ый:END
индукционный	ин:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
индуцировавший	ин:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
индуцировавшийся	ин:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
индуцированный	ин:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
индуцирующий	ин:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END
продуктивный	про:PREF/дукт:ROOT/ивн:SUFF/ый:END
продуктовый	про:PREF/дукт:ROOT/ов:SUFF/ый:END
продукционный	про:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
продуцировавший	про:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
продуцировавшийся	про:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
продуцированный	про:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
продуцирующий	про:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END
продуцирующийся	про:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END/ся:POSTFIX
редукторный	ре:PREF/дукт:ROOT/ор:SUFF/н:SUFF/ый:END
редукционный	ре:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
абдукция	аб:PREF/дукц:ROOT/и:SUFF/я:END
дедуктивность	де:PREF/дукт:ROOT/ивн:SUFF/ост:SUFF/ь:END
дедукция	де:PREF/дукц:ROOT/и:SUFF/я:END
индуктивности	ин:PREF/дукт:ROOT/ивн:SUFF/ост:SUFF/и:END
индуктивность	ин:PREF/дукт:ROOT/ивн:SUFF/ост:SUFF/ь:END
индуктор	ин:PREF/дукт:ROOT/ор:SUFF
индукторы	ин:PREF/дукт:ROOT/ор:SUFF/ы:END
индукция	ин:PREF/дукц:ROOT/и:SUFF/я:END
кондуктор	кон:PREF/дукт:ROOT/ор:SUFF
кондукторы	кон:PREF/дукт:ROOT/ор:SUFF/ы:END
продукт	про:PREF/дукт:ROOT
продуктивность	про:PREF/дукт:ROOT/ивн:SUFF/ост:SUFF/ь:END
продукты	про:PREF/дукт:ROOT/ы:END
продукции	про:PREF/дукц:ROOT/и:SUFF/и:END
продукция	про:PREF/дукц:ROOT/и:SUFF/я:END
продуцент	про:PREF/дуц:ROOT/ент:SUFF
продуценты	про:PREF/дуц:ROOT/ент:SUFF/ы:END
редуктор	ре:PREF/дукт:ROOT/ор:SUFF
редукторы	ре:PREF/дукт:ROOT/ор:SUFF/ы:END
редукция	ре:PREF/дукц:ROOT/и:SUFF/я:END
абонемент	абон:ROOT/ем:SUFF/ент:SUFF
абонементы	абон:ROOT/ем:SUFF/ент:SUFF/ы:END
абонент	абон:ROOT/ент:SUFF
абонентка	абон:ROOT/ент:SUFF/к:SUFF/а:END
абонентки	абон:ROOT/ент:SUFF/к:SUFF/и:END
абоненты	абон:ROOT/ент:SUFF/ы:END
абонементный	абон:ROOT/ем:SUFF/ент:SUFF/н:SUFF/ый:END
абонентный	абон:ROOT/ент:SUFF/н:SUFF/ый:END
абонентский	абон:ROOT/ент:SUFF/ск:SUFF/ий:END
абрикос	абрикос:ROOT
абрикосик	абрикос:ROOT/ик:SUFF
абрикосики	абрикос:ROOT/ик:SUFF/и:END
абрикосы	абрикос:ROOT/ы:END
абстрагирующий	абстраг:ROOT/ир:SUFF/ующ:SUFF/ий:END
абстрагирующийся	абстраг:ROOT/ир:SUFF/ующ:SUFF/ий:END/ся:POSTFIX
абстрактный	абстракт:ROOT/н:SUFF/ый:END
абстракционистский	абстракц:ROOT/ион:SUFF/ист:SUFF/ск:SUFF/ий:END
абхаз	абхаз:ROOT
абхазец	абхаз:ROOT/ец:SUFF
абхазка	абхаз:ROOT/к:SUFF/а:END
абхазки	абхаз:ROOT/к:SUFF/и:END
абхазцы	абхаз:ROOT/ц:SUFF/ы:END
авангард	авангард:ROOT
авангардизм	авангард:ROOT/изм:SUFF
авангардист	авангард:ROOT/ист:SUFF
авангардисты	авангард:ROOT/ист:SUFF/ы:END
авангардистский	авангард:ROOT/ист:SUFF/ск:SUFF/ий:END
авангардный	авангард:ROOT/н:SUFF/ый:END
аванс	аванс:ROOT
авансик	аванс:ROOT/ик:SUFF
авансики	аванс:ROOT/ик:SUFF/и:END
авансы	аванс:ROOT/ы:END
авантюра	авантюр:ROOT/а:END
авантюризм	авантюр:ROOT/изм:SUFF
авантюрист	авантюр:ROOT/ист:SUFF
авантюристка	авантюр:ROOT/ист:SUFF/к:SUFF/а:END
авантюристки	авантюр:ROOT/ист:SUFF/к:SUFF/и:END
авантюристы	авантюр:ROOT/ист:SUFF/ы:END
авантюричность	авантюр:ROOT/ичн:SUFF/ост:SUFF/ь:END
авантюристический	авантюр:ROOT/ист:SUFF/ич:SUFF/еск:SUFF/ий:END
авантюристичный	авантюр:ROOT/ист:SUFF/ичн:SUFF/ый:END
авантюристский	авантюр:ROOT/ист:SUFF/ск:SUFF/ий:END
авантюрный	авантюр:ROOT/н:SUFF/ый:END
аварии	авар:ROOT/и:SUFF/и:END
аварийность	авар:ROOT/ий:SUFF/н:SUFF/ост:SUFF/ь:END
аварийщик	авар:ROOT/ий:SUFF/щик:SUFF
аварийщики	авар:ROOT/ий:SUFF/щик:SUFF/и:END
авария	авар:ROOT/и:SUFF/я:END
безаварийность	без:PREF/авар:ROOT/ий:SUFF/н:SUFF/ост:SUFF/ь:END
аварийный	авар:ROOT/ий:SUFF/н:SUFF/ый:END
безаварийный	без:PREF/авар:ROOT/ий:SUFF/н:SUFF/ый:END
авиаторский	ави:ROOT/атор:SUFF/ск:SUFF/ий:END
авиационный	ави:ROOT/аци:SUFF/онн:SUFF/ый:END
автобиографический	автобиограф:ROOT/ич:SUFF/еск:SUFF/ий:END
автобиографичный	автобиограф:ROOT/ичн:SUFF/ый:END
автомат	автомат:ROOT
автоматизация	автомат:ROOT/из:SUFF/аци:SUFF/я:END
автоматизм	автомат:ROOT/изм:SUFF
автоматика	автомат:ROOT/ик:SUFF/а:END
автоматичность	автомат:ROOT/ичн:SUFF/ост:SUFF/ь:END
автоматчик	автомат:ROOT/чик:SUFF
автоматчики	автомат:ROOT/чик:SUFF/и:END
автоматы	автомат:ROOT/ы:END
автоматизированный	автомат:ROOT/из:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
автоматический	автомат:ROOT/ич:SUFF/еск:SUFF/ий:END
автоматичный	автомат:ROOT/ичн:SUFF/ый:END
автоматный	автомат:ROOT/н:SUFF/ый:END
неавтоматизированный	не:PREF/автомат:ROOT/из:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
автоматизировать	автомат:ROOT/изир:SUFF/ов:SUFF/ать:END
автоматизироваться	автомат:ROOT/изир:SUFF/ов:SUFF/ать:END/ся:POSTFIX
автомобили	автомобил:ROOT/и:END
автомобилизация	автомобил:ROOT/из:SUFF/аци:SUFF/я:END
автомобилизм	автомобил:ROOT/изм:SUFF
автомобилист	автомобил:ROOT/ист:SUFF
автомобилистка	автомобил:ROOT/ист:SUFF/к:SUFF/а:END
автомобилистки	автомобил:ROOT/ист:SUFF/к:SUFF/и:END
автомобилисты	автомобил:ROOT/ист:SUFF/ы:END
